id,drug,routes,label_rules,structured_rules,notes_from_extraction,dailymed_url,current_status,current_reviewer,decision,reviewer,review_date,notes
cefepime:IM+IV,Cefepime,"IV, IM","> 60: Usual 500 mg q12h regimen: 500 mg every 12 hours | Usual 1 g q12h regimen: 1 g every 12 hours | Usual 2 g q12h regimen: 2 g every 12 hours | Usual 2 g q8h regimen: 2 g every 8 hours
30-60: Usual 500 mg q12h regimen, not on CAPD or hemodialysis: 500 mg every 24 hours | Usual 1 g q12h regimen, not on CAPD or hemodialysis: 1 g every 24 hours | Usual 2 g q12h regimen, not on CAPD or hemodialysis: 2 g every 24 hours | Usual 2 g q8h regimen, not on CAPD or hemodialysis: 2 g every 12 hours
11-29: Usual 500 mg q12h regimen, not on CAPD or hemodialysis: 500 mg every 24 hours | Usual 1 g q12h regimen, not on CAPD or hemodialysis: 500 mg every 24 hours | Usual 2 g q12h regimen, not on CAPD or hemodialysis: 1 g every 24 hours | Usual 2 g q8h regimen, not on CAPD or hemodialysis: 2 g every 24 hours
< 11: Usual 500 mg q12h regimen, not on CAPD or hemodialysis: 250 mg every 24 hours | Usual 1 g q12h regimen, not on CAPD or hemodialysis: 250 mg every 24 hours | Usual 2 g q12h regimen, not on CAPD or hemodialysis: 500 mg every 24 hours | Usual 2 g q8h regimen, not on CAPD or hemodialysis: 1 g every 24 hours | CAPD; usual 500 mg q12h regimen: 500 mg every 48 hours | CAPD; usual 1 g q12h regimen: 1 g every 48 hours | CAPD; usual 2 g q12h or q8h regimen: 2 g every 48 hours | Hemodialysis, all infections except febrile neutropenia: 1 g on day 1, then 500 mg every 24 hours after hemodialysis on dialysis days | Hemodialysis, febrile neutropenia: 1 g every 24 hours after hemodialysis on dialysis days",">= 60 [dialysis=none, indication=usual-500-q12]: 500 mg every 12 hours
>= 60 [dialysis=none, indication=usual-1g-q12]: 1 g every 12 hours
>= 60 [dialysis=none, indication=usual-2g-q12]: 2 g every 12 hours
>= 60 [dialysis=none, indication=usual-2g-q8]: 2 g every 8 hours
30-59 [dialysis=none, indication=usual-500-q12]: 500 mg every 24 hours
30-59 [dialysis=none, indication=usual-1g-q12]: 1 g every 24 hours
30-59 [dialysis=none, indication=usual-2g-q12]: 2 g every 24 hours
30-59 [dialysis=none, indication=usual-2g-q8]: 2 g every 12 hours
11-29 [dialysis=none, indication=usual-500-q12]: 500 mg every 24 hours
11-29 [dialysis=none, indication=usual-1g-q12]: 500 mg every 24 hours
11-29 [dialysis=none, indication=usual-2g-q12]: 1 g every 24 hours
11-29 [dialysis=none, indication=usual-2g-q8]: 2 g every 24 hours
< 11 [dialysis=none, indication=usual-500-q12]: 250 mg every 24 hours
< 11 [dialysis=none, indication=usual-1g-q12]: 250 mg every 24 hours
< 11 [dialysis=none, indication=usual-2g-q12]: 500 mg every 24 hours
< 11 [dialysis=none, indication=usual-2g-q8]: 1 g every 24 hours
All values [dialysis=capd, indication=usual-500-q12]: 500 mg every 48 hours
All values [dialysis=capd, indication=usual-1g-q12]: 1 g every 48 hours
All values [dialysis=capd, indication=usual-2g-q12]: 2 g every 48 hours
All values [dialysis=capd, indication=usual-2g-q8]: 2 g every 48 hours
All values [dialysis=hd, indication=usual-2g-q8]: 1 g every 24 hours after HD on dialysis days
All values [dialysis=hd]: 1 g on day 1, then 500 mg every 24 hours after HD on dialysis days",Adult maintenance dosing; initial dose is the same as normal renal function except in hemodialysis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd641c7f-b857-48ff-bd9d-747e0c3cc89f,draft,,,,,
ceftazidime:IM+IV,Ceftazidime,"IV, IM","> 50: CrCl >50 mL/min: No renal dose adjustment usual adult schedule by indication
31-50: CrCl 31-50 mL/min: 1 g every 12 hours
16-30: CrCl 16-30 mL/min: 1 g every 24 hours
6-15: CrCl 6-15 mL/min: 500 mg every 24 hours
0-5: CrCl <5 mL/min, not on dialysis: 500 mg every 48 hours | Hemodialysis: 1 g loading dose, then 1 g after each hemodialysis period | Intraperitoneal dialysis or CAPD: 1 g loading dose, then 500 mg every 24 hours","> 50 [dialysis=none]: No renal dose adjustment usual adult schedule by indication
31-50 [dialysis=none]: 1 g every 12 hours
16-30 [dialysis=none]: 1 g every 24 hours
6-15 [dialysis=none]: 500 mg every 24 hours
0-5 [dialysis=none]: 500 mg every 48 hours
All values [dialysis=hd]: 1 g loading dose, then 1 g after each HD period
All values [dialysis=capd]: 1 g loading dose, then 500 mg every 24 hours",Adult maintenance dosing after a 1 g loading dose when renal insufficiency is suspected.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8b55504e-38c5-fa0c-7766-ee68d38c041b,draft,,,,,
ceftaroline:IV,Ceftaroline fosamil,IV,"> 50: CrCl >50 mL/min: No renal dose adjustment usual adult schedule by indication
31-50: CrCl >30 to <=50 mL/min: 400 mg IV every 12 hours
15-30: CrCl >=15 to <=30 mL/min: 300 mg IV every 12 hours
< 15: End-stage renal disease, including hemodialysis: 200 mg IV every 12 hours",,Adult IV dosing over 5 to 60 minutes; administer after hemodialysis on hemodialysis days.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3cee3c08-ed60-06c5-ac49-103b7ad2ef5f,draft,,,,,
cefdinir:ORAL,Cefdinir,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment usual adult schedule by indication
< 30: CrCl <30 mL/min, not on hemodialysis: 300 mg once daily | Chronic hemodialysis: 300 mg initially; give 300 mg at the conclusion of each hemodialysis session every other day after dialysis",,Adult oral dosing; renal adjustment threshold is CrCl below 30 mL/min.,https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=236cea6b-c72e-43fa-bbcb-187a061e3a33,draft,,,,,
cefpodoxime:ORAL,Cefpodoxime proxetil,ORAL,">= 30: CrCl >=30 mL/min: No renal dose adjustment usual adult schedule by indication
< 30: CrCl <30 mL/min, not on hemodialysis: Usual individual dose every 24 hours | Hemodialysis: Usual individual dose 3 times/week after hemodialysis",">= 30 [dialysis=none]: No renal dose adjustment usual adult schedule by indication
< 30 [dialysis=none]: Usual individual dose every 24 hours
All values [dialysis=hd]: Usual individual dose 3 times/week after HD",Adult oral dosing; extend interval for severe renal impairment.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8519a9d8-7106-4545-bc58-859ee9a6708e,draft,,,,,
cefixime:ORAL,Cefixime,ORAL,">= 60: CrCl >=60 mL/min: No renal dose adjustment usual adult schedule by indication
21-59: CrCl 21-59 mL/min or renal hemodialysis; suspension table: 13 mL of 100 mg/5 mL or 6.5 mL of 200 mg/5 mL per day once daily
0-20: CrCl <=20 mL/min or continuous peritoneal dialysis; suspension table: 8.6 mL of 100 mg/5 mL or 4.4 mL of 200 mg/5 mL per day once daily",,Adult oral suspension/tablet dosing; 400 mg tablet is not appropriate for the 21-59 mL/min band in the cited tablet label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3194433c-c04e-442b-9668-fbeb0a15bac7,draft,,,,,
cefprozil:ORAL,Cefprozil,ORAL,"30-120: CrCl 30-120 mL/min: Standard dose standard interval
0-29: CrCl 0-29 mL/min: 50% of standard dose standard interval",,Adult oral dosing; administer after hemodialysis when applicable.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6133611e-19c1-4df2-8c23-8573aaf63020,draft,,,,,
cefotetan:IM+IV,Cefotetan,"IV, IM","> 30: CrCl >30 mL/min: Usual recommended dose every 12 hours
10-30: CrCl 10-30 mL/min, interval-extension option: Usual recommended dose every 24 hours | CrCl 10-30 mL/min, dose-reduction option: One-half usual recommended dose every 12 hours
< 10: CrCl <10 mL/min, not on intermittent hemodialysis, interval-extension option: Usual recommended dose every 48 hours | CrCl <10 mL/min, not on intermittent hemodialysis, dose-reduction option: One-quarter usual recommended dose every 12 hours | Intermittent hemodialysis, days between dialysis: One-quarter usual recommended dose every 24 hours | Intermittent hemodialysis, day of dialysis: One-half usual recommended dose on dialysis day",,Adult parenteral dosing; label offers either interval extension or dose reduction at a 12-hour interval.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=33b13b93-58ce-44c7-b9a2-af3b3a333f80,draft,,,,,
ceftolozane-tazobactam:IV,Ceftolozane and tazobactam,IV,"> 50: cIAI or cUTI: 1.5 g IV every 8 hours | HABP/VABP: 3 g IV every 8 hours
30-50: cIAI or cUTI: 750 mg IV every 8 hours | HABP/VABP: 1.5 g IV every 8 hours
15-29: cIAI or cUTI: 375 mg IV every 8 hours | HABP/VABP: 750 mg IV every 8 hours
< 15: ESRD on hemodialysis, cIAI or cUTI: 750 mg IV loading dose, then 150 mg IV maintenance every 8 hours; on hemodialysis days give after dialysis | ESRD on hemodialysis, HABP/VABP: 2.25 g IV loading dose, then 450 mg IV maintenance every 8 hours; on hemodialysis days give after dialysis | CrCl <15 mL/min not on hemodialysis: No clean DailyMed adult dose row in this label manual clinical review required",,Adult IV dosing over 1 hour; indication-specific doses are retained for cIAI/cUTI vs HABP/VABP.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=70ac1d90-eff3-4f0b-9f46-5846c571b32f,draft,,,,,
ceftazidime-avibactam:IV,Ceftazidime and avibactam,IV,"> 50: CrCl >50 mL/min: 2.5 g IV every 8 hours
31-50: CrCl 31-50 mL/min: 1.25 g IV every 8 hours
16-30: CrCl 16-30 mL/min: 0.94 g IV every 12 hours
6-15: CrCl 6-15 mL/min: 0.94 g IV every 24 hours
0-5: CrCl <=5 mL/min; administer after hemodialysis on hemodialysis days: 0.94 g IV every 48 hours",,Adult IV dosing over 2 hours; use with metronidazole for cIAI per label.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d9c2803f-dc9c-4b19-b4a3-8303bc8c15fd,draft,,,,,
cefiderocol:IV,Cefiderocol,IV,">= 120: CLcr >=120 mL/min: 2 g IV every 6 hours
60-119: CLcr 60-119 mL/min: 2 g IV every 8 hours
30-59: CLcr 30-59 mL/min: 1.5 g IV every 8 hours
15-29: CLcr 15-29 mL/min: 1 g IV every 8 hours
< 15: CLcr <15 mL/min, with or without intermittent hemodialysis: 0.75 g IV every 12 hours",,Adult IV dosing over 3 hours; includes augmented renal clearance band.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=75c0c785-38e0-4049-a6fb-b77581f5b35c,draft,,,,,
aztreonam:IM+IV,Aztreonam,"IV, IM","> 30: CrCl >30 mL/min/1.73 m2: No renal dose adjustment usual adult schedule by indication
10-30: CrCl 10-30 mL/min/1.73 m2 after 1 g or 2 g loading dose: One-half usual dose usual fixed interval
< 10: CrCl <10 mL/min/1.73 m2 after usual initial dose: One-quarter usual dose usual fixed interval",,Adult parenteral dosing; give initial 1 g or 2 g loading dose before maintenance reduction.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9a105eaf-ee77-4016-beeb-d425a5565db2,draft,,,,,
imipenem-cilastatin:IV,Imipenem and cilastatin,IV,">= 90: Susceptible species regimen option 1: 500 mg every 6 hours | Susceptible species regimen option 2: 1000 mg every 8 hours | Intermediate susceptibility species: 1000 mg every 6 hours
60-89: Susceptible species, corresponding to 500 mg q6h normal regimen: 400 mg every 6 hours | Susceptible species, corresponding to 1000 mg q8h normal regimen: 500 mg every 6 hours | Intermediate susceptibility species: 750 mg every 8 hours
30-59: Susceptible species, corresponding to 500 mg q6h normal regimen: 300 mg every 6 hours | Susceptible species, corresponding to 1000 mg q8h normal regimen: 500 mg every 8 hours | Intermediate susceptibility species: 500 mg every 6 hours
15-29: Susceptible species, corresponding to 500 mg q6h normal regimen: 200 mg every 6 hours | Susceptible species, corresponding to 1000 mg q8h normal regimen: 500 mg every 12 hours | Intermediate susceptibility species: 500 mg every 12 hours
< 15: CrCl <15 mL/min: Do not use unless hemodialysis is instituted within 48 hours use hemodialysis timing from label if applicable",,Adult IV dosing; table is based on suspected or proven pathogen susceptibility and CrCl.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f41d8abd-7792-4918-1b93-bd83ea01955e,draft,,,,,
ertapenem:IM+IV,Ertapenem,"IV, IM","> 30: CrCl >30 mL/min/1.73 m2: No renal dose adjustment usual adult schedule by indication
0-30: CrCl <=30 mL/min/1.73 m2 or ESRD: 500 mg once daily",,Adult dosing; hemodialysis supplement depends on timing relative to dialysis.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a400707f-763f-43f6-989e-0d2569d822d8,draft,,,,,
ciprofloxacin:ORAL,Ciprofloxacin,ORAL,"> 50: Adult oral label table: See usual dosage by indication
30-50: Adult oral label table: 250 to 500 mg every 12 hours
5-29: CrCl 5-29 mL/min, not on hemodialysis or peritoneal dialysis: 250 to 500 mg every 18 hours | Hemodialysis or peritoneal dialysis: 250 to 500 mg every 24 hours after dialysis","> 50 [dialysis=none]: See usual dose by indication
30-50 [dialysis=none]: 250-500 mg every 12 hours
5-29 [dialysis=none]: 250-500 mg every 18 hours
All values [dialysis=hd]: 250-500 mg every 24 hours after dialysis
All values [dialysis=capd]: 250-500 mg every 24 hours after dialysis",Adult oral renal table; usual dose depends on infection. Dialysis has a separate label row and should not use the CrCl 5-29 non-dialysis interval.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=888dc7f9-ad9c-4c00-8d50-8ddfd9bd27c0,draft,,,,,
levofloxacin:ORAL,Levofloxacin,ORAL,">= 50: Adult label table: No dosage adjustment usual adult schedule by indication
20-49: Normal regimen 750 mg every 24 hours: 750 mg every 48 hours | Normal regimen 500 mg every 24 hours: 500 mg once, then 250 mg every 24 hours | Normal regimen 250 mg every 24 hours: No dosage adjustment usual 250 mg schedule
10-19: Normal regimen 750 mg every 24 hours: 750 mg once, then 500 mg every 48 hours | Normal regimen 500 mg every 24 hours: 500 mg once, then 250 mg every 48 hours | Normal regimen 250 mg every 24 hours: 250 mg every 48 hours; no adjustment for uncomplicated UTI
0-9: Hemodialysis or CAPD; normal regimen 750 mg every 24 hours: 750 mg once, then 500 mg every 48 hours | Hemodialysis or CAPD; normal regimen 500 mg every 24 hours: 500 mg once, then 250 mg every 48 hours | Hemodialysis or CAPD; normal regimen 250 mg every 24 hours: No adjustment information available review label | CrCl <10 mL/min not on HD or CAPD: DailyMed renal table is dialysis-specific at this level; review label manual clinical review required",">= 50 [dialysis=none]: No dosage adjustment usual adult schedule by indication
20-49 [dialysis=none, indication=usual-750-q24]: 750 mg every 48 hours
20-49 [dialysis=none, indication=usual-500-q24]: 500 mg once, then 250 mg every 24 hours
20-49 [dialysis=none, indication=usual-250-q24]: No dosage adjustment usual 250 mg schedule
10-19 [dialysis=none, indication=usual-750-q24]: 750 mg once, then 500 mg every 48 hours
10-19 [dialysis=none, indication=usual-500-q24]: 500 mg once, then 250 mg every 48 hours
10-19 [dialysis=none, indication=usual-250-q24]: 250 mg every 48 hours; no adjustment for uncomplicated UTI
< 10 [dialysis=none]: DailyMed table is dialysis-specific below 10 mL/min manual clinical review required
All values [dialysis=hd, indication=usual-750-q24]: 750 mg once, then 500 mg every 48 hours
All values [dialysis=hd, indication=usual-500-q24]: 500 mg once, then 250 mg every 48 hours
All values [dialysis=hd, indication=usual-250-q24]: No clean adjustment row review label
All values [dialysis=capd, indication=usual-750-q24]: 750 mg once, then 500 mg every 48 hours
All values [dialysis=capd, indication=usual-500-q24]: 500 mg once, then 250 mg every 48 hours
All values [dialysis=capd, indication=usual-250-q24]: No clean adjustment row review label",Adult oral renal adjustment table; choose the row matching the usual normal-renal regimen.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=af4b7333-4f77-4ec9-e053-2a95a90a16d2,draft,,,,,
moxifloxacin:ORAL,Moxifloxacin,ORAL,"All values: Renal impairment, including HD or CAPD: No renal dose adjustment usual adult schedule by indication",,"Adult oral label states renal pharmacokinetics are not significantly altered, including HD and CAPD.",https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45ce14e5-98b8-296b-e063-6294a90a769b,draft,,,,,
azithromycin:ORAL,Azithromycin,ORAL,All values: Renal impairment: No renal dose adjustment usual adult schedule by indication,,Adult oral label states no renal dosage adjustment; use caution in severe renal impairment.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7e7c2f49-449c-4ba2-98ae-0ff0c040614c,draft,,,,,
clarithromycin-extended-release:ORAL,Clarithromycin extended-release,ORAL,"> 60: Extended-release tablet renal impairment table: No renal dose reduction usual adult ER schedule by indicated infection
30-60: With concomitant atazanavir or ritonavir-containing regimen: Reduce clarithromycin dose by 50% usual interval unless otherwise specified
< 30: Severe renal impairment: Reduce clarithromycin dose by 50% usual interval unless otherwise specified | Severe renal impairment with atazanavir or ritonavir-containing regimen: Reduce clarithromycin dose by 75% usual interval unless otherwise specified",,Adult extended-release tablet only; do not generalize to immediate-release tablets or granules. Renal adjustment is expressed as percent dose reduction; concomitant atazanavir or ritonavir-containing regimens have separate reductions.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1d328f5d-73c1-4df7-a3df-71d0e0221181,draft,,,,,
clindamycin:ORAL,Clindamycin,ORAL,All values: Renal disease: No renal dose adjustment usual adult schedule by indication,,Adult oral label states dosage schedules do not need modification in renal disease.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=47f76d99-2024-4531-a527-66c80deeeb37,draft,,,,,
linezolid:IV+ORAL,Linezolid,"ORAL, IV",All values: Renal impairment: No renal dose adjustment usual adult schedule by indication,,Label states parent-drug exposure is similar regardless of renal function; metabolite accumulation risk should still be considered.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=374af2a7-d994-40bd-a86a-cd9038d0b72c&version=15,draft,,,,,
daptomycin:IV,Daptomycin,IV,">= 30: cSSSI: 4 mg/kg every 24 hours | S. aureus bloodstream infection: 6 mg/kg every 24 hours
< 30: cSSSI, including HD or CAPD: 4 mg/kg every 48 hours | S. aureus bloodstream infection, including HD or CAPD: 6 mg/kg every 48 hours",,Adult IV label gives separate cSSSI and S. aureus bloodstream infection regimens.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d87bd6b5-bf92-49c1-879b-dc2add3deae6,draft,,,,,
nitrofurantoin:ORAL,Nitrofurantoin,ORAL,">= 60: Renal function not contraindicated by label threshold: Usual adult cystitis dose by formulation
< 60: CrCl under 60 mL/min or clinically significant creatinine elevation: Contraindicated do not use per label",,"Label contraindicates anuria, oliguria, or significant renal impairment using a CrCl threshold.",https://www.dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=0f4d7699-d5d8-4c36-aaa6-63c3c8c68b4f,draft,,,,,
sulfamethoxazole-trimethoprim:ORAL,Sulfamethoxazole and trimethoprim,ORAL,"> 30: Renal impairment table: Usual standard regimen by indication
15-30: Renal impairment table: One-half usual regimen by indication
< 15: Renal impairment table: Use not recommended avoid per label",,Adult oral label uses fractions of the usual regimen; select the usual regimen by indication first.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0b261114-77e7-ff08-e063-6394a90a4e03,draft,,,,,
fluconazole:ORAL,Fluconazole,ORAL,"> 50: Multiple-dose therapy after loading dose: 100% of recommended dose usual adult schedule by indication
0-50: Multiple-dose therapy, not on dialysis, after loading dose: 50% of recommended dose usual interval unless otherwise specified | Hemodialysis: 100% of recommended dose after each dialysis session",,No adjustment for single-dose vaginal candidiasis; for multiple-dose therapy give loading dose then adjust daily dose by renal table.,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4d7cf836-d115-456c-a636-6f05eae043cd,draft,,,,,
voriconazole:ORAL,Voriconazole,ORAL,All values: Oral dosing in mild to severe renal impairment: No renal dose adjustment usual adult schedule by indication,,Oral voriconazole has no renal adjustment; IV vehicle accumulation is a separate label warning and is not modeled as a dose change.,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4cbac6ad-0faa-4181-a830-27a9f1536b7a,draft,,,,,
